op	desc	N	V	B	D	I	Z	C	type	mode	hex	opmode	mode_template	dec
brk	(S)-:=PC,P PC:=($FFFE)			1		1			jump	imp	$00	implied	NA	0
ora	A:=A or {adr}	*					*		logical	izx	$01	indirect x	($00,X)	1
slo	{adr}:={adr}*2 A:=A or {adr}	*					*	*	illegal	izx	$03	indirect x	($00,X)	3
ora	A:=A or {adr}	*					*		logical	zp	$05	zero page	$00	5
asl	{adr}:={adr}*2	*					*	*	logical	zp	$06	zero page	$00	6
slo	{adr}:={adr}*2 A:=A or {adr}	*					*	*	illegal	zp	$07	zero page	$00	7
php	(S)-:=P								move	imp	$08	implied	NA	8
ora	A:=A or {adr}	*					*		logical	imm	$09	immediate	#$00	9
asl	{adr}:={adr}*2	*					*	*	logical	imp	$0A	implied	NA	10
anc	A:=A&#{imm}	*					*	*	illegal	imm	$0B	immediate	#$00	11
ora	A:=A or {adr}	*					*		logical	abs	$0D	absolute	$0000	13
asl	{adr}:={adr}*2	*					*	*	logical	abs	$0E	absolute	$0000	14
slo	{adr}:={adr}*2 A:=A or {adr}	*					*	*	illegal	abs	$0F	absolute	$0000	15
bpl	branch on N=0								jump	rel	$10	relative	$000o0	16
ora	A:=A or {adr}	*					*		logical	izy	$11	indirect y	($00),Y	17
slo	{adr}:={adr}*2 A:=A or {adr}	*					*	*	illegal	izy	$13	indirect y	($00),Y	19
ora	A:=A or {adr}	*					*		logical	zpx	$15	zero page x	$00,X	21
asl	{adr}:={adr}*2	*					*	*	logical	zpx	$16	zero page x	$00,X	22
slo	{adr}:={adr}*2 A:=A or {adr}	*					*	*	illegal	zpx	$17	zero page x	$00,X	23
clc	C:=0							0	jump	imp	$18	implied	NA	24
ora	A:=A or {adr}	*					*		logical	aby	$19	absolute y	$0000,Y	25
slo	{adr}:={adr}*2 A:=A or {adr}	*					*	*	illegal	aby	$1B	absolute y	$0000,Y	27
ora	A:=A or {adr}	*					*		logical	abx	$1D	absolute x	$0000,X	29
asl	{adr}:={adr}*2	*					*	*	logical	abx	$1E	absolute x	$0000,X	30
slo	{adr}:={adr}*2 A:=A or {adr}	*					*	*	illegal	abx	$1F	absolute x	$0000,X	31
jsr	(S)-:=PC PC:={adr}								jump	abs	$20	absolute	$0000	32
and	A:=A&{adr}	*					*		logical	izx	$21	indirect x	($00,X)	33
rla	{adr}:={adr}rol A:=A and {adr}	*					*	*	illegal	izx	$23	indirect x	($00,X)	35
bit	N:=b7 V:=b6 Z:=A&{adr}	*	*				*		jump	zp	$24	zero page	$00	36
and	A:=A&{adr}	*					*		logical	zp	$25	zero page	$00	37
rol	{adr}:={adr}*2+C	*					*	*	logical	zp	$26	zero page	$00	38
rla	{adr}:={adr}rol A:=A and {adr}	*					*	*	illegal	zp	$27	zero page	$00	39
plp	P:=+(S)	*	*		*	*	*	*	move	imp	$28	implied	NA	40
and	A:=A&{adr}	*					*		logical	imm	$29	immediate	#$00	41
rol	{adr}:={adr}*2+C	*					*	*	logical	imp	$2A	implied	NA	42
anc	A:=A&#{imm}	*					*	*	illegal	imm	$2B	immediate	#$00	43
bit	N:=b7 V:=b6 Z:=A&{adr}	*	*				*		jump	abs	$2C	absolute	$0000	44
and	A:=A&{adr}	*					*		logical	abs	$2D	absolute	$0000	45
rol	{adr}:={adr}*2+C	*					*	*	logical	abs	$2E	absolute	$0000	46
rla	{adr}:={adr}rol A:=A and {adr}	*					*	*	illegal	abs	$2F	absolute	$0000	47
bmi	branch on N=1								jump	rel	$30	relative	$000o0	48
and	A:=A&{adr}	*					*		logical	izy	$31	indirect y	($00),Y	49
rla	{adr}:={adr}rol A:=A and {adr}	*					*	*	illegal	izy	$33	indirect y	($00),Y	51
and	A:=A&{adr}	*					*		logical	zpx	$35	zero page x	$00,X	53
rol	{adr}:={adr}*2+C	*					*	*	logical	zpx	$36	zero page x	$00,X	54
rla	{adr}:={adr}rol A:=A and {adr}	*					*	*	illegal	zpx	$37	zero page x	$00,X	55
sec	C:=1							1	jump	imp	$38	implied	NA	56
and	A:=A&{adr}	*					*		logical	aby	$39	absolute y	$0000,Y	57
rla	{adr}:={adr}rol A:=A and {adr}	*					*	*	illegal	aby	$3B	absolute y	$0000,Y	59
and	A:=A&{adr}	*					*		logical	abx	$3D	absolute x	$0000,X	61
rol	{adr}:={adr}*2+C	*					*	*	logical	abx	$3E	absolute x	$0000,X	62
rla	{adr}:={adr}rol A:=A and {adr}	*					*	*	illegal	abx	$3F	absolute x	$0000,X	63
rti	P,PC:=+(S)	*	*		*	*	*	*	jump	imp	$40	implied	NA	64
eor	A:=A exor {adr}	*					*		logical	izx	$41	indirect x	($00,X)	65
sre	{adr}:={adr}/2 A:=A exor {adr}	*					*	*	illegal	izx	$43	indirect x	($00,X)	67
eor	A:=A exor {adr}	*					*		logical	zp	$45	zero page	$00	69
lsr	{adr}:={adr}/2	*					*	*	logical	zp	$46	zero page	$00	70
sre	{adr}:={adr}/2 A:=A exor {adr}	*					*	*	illegal	zp	$47	zero page	$00	71
pha	(S)-:=A								move	imp	$48	implied	NA	72
eor	A:=A exor {adr}	*					*		logical	imm	$49	immediate	#$00	73
lsr	{adr}:={adr}/2	*					*	*	logical	imp	$4A	implied	NA	74
alr	A:=(A&#{imm})/2	*					*	*	illegal	imm	$4B	immediate	#$00	75
jmp	PC:={adr}								jump	abs	$4C	absolute	$0000	76
eor	A:=A exor {adr}	*					*		logical	abs	$4D	absolute	$0000	77
lsr	{adr}:={adr}/2	*					*	*	logical	abs	$4E	absolute	$0000	78
sre	{adr}:={adr}/2 A:=A exor {adr}	*					*	*	illegal	abs	$4F	absolute	$0000	79
bvc	branch on V=0								jump	rel	$50	relative	$000o0	80
eor	A:=A exor {adr}	*					*		logical	izy	$51	indirect y	($00),Y	81
sre	{adr}:={adr}/2 A:=A exor {adr}	*					*	*	illegal	izy	$53	indirect y	($00),Y	83
eor	A:=A exor {adr}	*					*		logical	zpx	$55	zero page x	$00,X	85
lsr	{adr}:={adr}/2	*					*	*	logical	zpx	$56	zero page x	$00,X	86
sre	{adr}:={adr}/2 A:=A exor {adr}	*					*	*	illegal	zpx	$57	zero page x	$00,X	87
cli	I:=0					0			jump	imp	$58	implied	NA	88
eor	A:=A exor {adr}	*					*		logical	aby	$59	absolute y	$0000,Y	89
sre	{adr}:={adr}/2 A:=A exor {adr}	*					*	*	illegal	aby	$5B	absolute y	$0000,Y	91
eor	A:=A exor {adr}	*					*		logical	abx	$5D	absolute x	$0000,X	93
lsr	{adr}:={adr}/2	*					*	*	logical	abx	$5E	absolute x	$0000,X	94
sre	{adr}:={adr}/2 A:=A exor {adr}	*					*	*	illegal	abx	$5F	absolute x	$0000,X	95
rts	PC:=+(S)								jump	imp	$60	implied	NA	96
adc	A:=A+{adr}	*	*				*	*	logical	izx	$61	indirect x	($00,X)	97
rra	{adr}:={adr}ror A:=A adc {adr}	*	*				*	*	illegal	izx	$63	indirect x	($00,X)	99
adc	A:=A+{adr}	*	*				*	*	logical	zp	$65	zero page	$00	101
ror	{adr}:={adr}/2+C*128	*					*	*	logical	zp	$66	zero page	$00	102
rra	{adr}:={adr}ror A:=A adc {adr}	*	*				*	*	illegal	zp	$67	zero page	$00	103
pla	A:=+(S)	*					*		move	imp	$68	implied	NA	104
adc	A:=A+{adr}	*	*				*	*	logical	imm	$69	immediate	#$00	105
ror	{adr}:={adr}/2+C*128	*					*	*	logical	imp	$6A	implied	NA	106
arr	A:=(A&#{imm})/2	*	*				*	*	illegal	imm	$6B	immediate	#$00	107
jmp	PC:={adr}								jump	ind	$6C	indirect	($0000)	108
adc	A:=A+{adr}	*	*				*	*	logical	abs	$6D	absolute	$0000	109
ror	{adr}:={adr}/2+C*128	*					*	*	logical	abs	$6E	absolute	$0000	110
rra	{adr}:={adr}ror A:=A adc {adr}	*	*				*	*	illegal	abs	$6F	absolute	$0000	111
bvs	branch on V=1								jump	rel	$70	relative	$000o0	112
adc	A:=A+{adr}	*	*				*	*	logical	izy	$71	indirect y	($00),Y	113
rra	{adr}:={adr}ror A:=A adc {adr}	*	*				*	*	illegal	izy	$73	indirect y	($00),Y	115
adc	A:=A+{adr}	*	*				*	*	logical	zpx	$75	zero page x	$00,X	117
ror	{adr}:={adr}/2+C*128	*					*	*	logical	zpx	$76	zero page x	$00,X	118
rra	{adr}:={adr}ror A:=A adc {adr}	*	*				*	*	illegal	zpx	$77	zero page x	$00,X	119
sei	I:=1					1			jump	imp	$78	implied	NA	120
adc	A:=A+{adr}	*	*				*	*	logical	aby	$79	absolute y	$0000,Y	121
rra	{adr}:={adr}ror A:=A adc {adr}	*	*				*	*	illegal	aby	$7B	absolute y	$0000,Y	123
adc	A:=A+{adr}	*	*				*	*	logical	abx	$7D	absolute x	$0000,X	125
ror	{adr}:={adr}/2+C*128	*					*	*	logical	abx	$7E	absolute x	$0000,X	126
